Epoch,Delta_Mean,Delta_Min,Delta_Max,DFGU_la_1D,DFGU_la_2D
1,1.0043127536773682,0.9457049369812012,1.117014765739441,0.622459352016449,0.622459352016449
2,1.0008388757705688,0.9049152135848999,1.1933101415634155,0.6202077865600586,0.5854071974754333
3,0.9976798892021179,0.9387061595916748,1.2259304523468018,0.6407462954521179,0.5437998175621033
4,0.9932039380073547,0.944672703742981,1.2024224996566772,0.6581571698188782,0.507429301738739
5,0.9918209910392761,0.9374885559082031,1.182141661643982,0.6555013060569763,0.5050666332244873
6,0.9919053912162781,0.9375463724136353,1.1649365425109863,0.6557376384735107,0.5033460855484009
7,0.9911933541297913,0.9351763725280762,1.148569107055664,0.6543576121330261,0.5033730268478394
8,0.9920564293861389,0.9285283088684082,1.1358705759048462,0.6547868847846985,0.5021774172782898
9,0.9924126863479614,0.9433516263961792,1.1220741271972656,0.6545664668083191,0.5030343532562256
10,0.9923892617225647,0.9475029706954956,1.1105246543884277,0.6543769240379333,0.5021170377731323
11,0.9929654002189636,0.9549667239189148,1.1007773876190186,0.6546372175216675,0.5035364627838135
12,0.9924576282501221,0.9488457441329956,1.0921471118927002,0.6546311974525452,0.5025022625923157
13,0.9944828748703003,0.952201247215271,1.0844287872314453,0.6560244560241699,0.5028530955314636
14,0.9936807155609131,0.9530564546585083,1.0786325931549072,0.6565558910369873,0.5022515058517456
15,0.9946960210800171,0.9513117671012878,1.0722359418869019,0.6566856503486633,0.502550482749939
16,0.9951019287109375,0.9430261254310608,1.0679713487625122,0.6566914319992065,0.5030473470687866
17,0.9941579699516296,0.9428662061691284,1.0628634691238403,0.6569353938102722,0.5024577379226685
18,0.9946426749229431,0.94621741771698,1.0591260194778442,0.6573284268379211,0.5015411376953125
19,0.993078887462616,0.9529997110366821,1.0574830770492554,0.6571963429450989,0.5021046996116638
20,0.994222104549408,0.945685088634491,1.0538043975830078,0.6570532321929932,0.5019062757492065
21,0.9954872727394104,0.9450826644897461,1.0507216453552246,0.6572393178939819,0.5020542740821838
22,0.9952836632728577,0.9408168196678162,1.0441863536834717,0.6579010486602783,0.5014745593070984
23,0.9961103796958923,0.9425049424171448,1.0453336238861084,0.6585747599601746,0.5013641715049744
24,0.9976061582565308,0.9432147741317749,1.0440791845321655,0.6598483920097351,0.5014077425003052
25,0.9981834888458252,0.9473627209663391,1.0469118356704712,0.6594419479370117,0.5011333227157593
26,0.9965386986732483,0.9416273832321167,1.0449695587158203,0.6590448617935181,0.4996706545352936
27,0.9986504912376404,0.9497568011283875,1.0436043739318848,0.6605867743492126,0.5004643201828003
28,0.9981482625007629,0.9497919082641602,1.0385212898254395,0.660051703453064,0.5006667971611023
29,1.00022292137146,0.9578000903129578,1.035539984703064,0.6614190340042114,0.5004777312278748
30,0.9997392892837524,0.9494451284408569,1.0370159149169922,0.6612815856933594,0.49943891167640686
31,0.9982345104217529,0.9567549228668213,1.0329474210739136,0.6606057286262512,0.5004306435585022
32,0.9996220469474792,0.9681916832923889,1.0334101915359497,0.6616808176040649,0.4995483160018921
33,0.9992520213127136,0.9648962616920471,1.032634973526001,0.6621220111846924,0.5003714561462402
34,0.997037410736084,0.9610020518302917,1.0347659587860107,0.6623194813728333,0.5004907846450806
35,0.9986919164657593,0.9602540731430054,1.0386583805084229,0.6645174622535706,0.5004144310951233
36,0.9988268613815308,0.9613490700721741,1.0357191562652588,0.6646177172660828,0.5006617307662964
37,0.9969285130500793,0.9587913751602173,1.03197181224823,0.6642788648605347,0.5005797147750854
38,0.9974016547203064,0.9627851247787476,1.0324124097824097,0.6645742058753967,0.49962541460990906
39,0.9975524544715881,0.962754487991333,1.034278154373169,0.6650847792625427,0.5003930330276489
40,0.9970617294311523,0.9537961483001709,1.0267906188964844,0.6652451753616333,0.5002216100692749
41,0.9979811906814575,0.9568613767623901,1.031540036201477,0.6659934520721436,0.5002860426902771
42,0.9986726641654968,0.9567012786865234,1.0330458879470825,0.6671760082244873,0.4997827708721161
43,0.9986630082130432,0.9541553854942322,1.032381534576416,0.6673637628555298,0.5000509023666382
44,0.9977152943611145,0.955884575843811,1.0415844917297363,0.6656888127326965,0.5004533529281616
45,0.9980375170707703,0.9645130634307861,1.0342395305633545,0.666114866733551,0.5006687641143799
46,0.9986581802368164,0.9567953944206238,1.0376843214035034,0.6676874756813049,0.49997973442077637
47,0.9978725910186768,0.9622690081596375,1.0323841571807861,0.6679913997650146,0.5000236630439758
48,0.9990853667259216,0.9608051180839539,1.0323691368103027,0.6686633825302124,0.49980440735816956
49,0.9983327984809875,0.9602132439613342,1.0297619104385376,0.6686345338821411,0.5005692839622498
50,0.9998537302017212,0.9680051207542419,1.0316098928451538,0.67011559009552,0.5000668168067932
51,0.9984069466590881,0.968237042427063,1.031840205192566,0.6697896718978882,0.5008658766746521
52,0.999256432056427,0.9654012322425842,1.0340415239334106,0.6716440320014954,0.5015379190444946
53,0.9971616268157959,0.9563280940055847,1.0308364629745483,0.6705854535102844,0.5015608668327332
54,0.9975100755691528,0.9532456398010254,1.0337291955947876,0.6717529892921448,0.5014959573745728
55,0.9976882934570312,0.9534355401992798,1.0234593152999878,0.6714503169059753,0.5017309188842773
56,0.9973994493484497,0.9507806897163391,1.0294607877731323,0.6732490062713623,0.5009867548942566
57,0.9973943829536438,0.9580475091934204,1.0326154232025146,0.6728923320770264,0.5011239647865295
58,0.9987393021583557,0.9548906683921814,1.0415219068527222,0.6734752655029297,0.5017679333686829
59,0.9984559416770935,0.9640106558799744,1.0400402545928955,0.6739556789398193,0.5015144348144531
60,0.998368501663208,0.9630468487739563,1.0394397974014282,0.675718367099762,0.5004056692123413
61,0.997313380241394,0.9641137719154358,1.0297906398773193,0.6756953001022339,0.5016741156578064
62,0.9996662735939026,0.9637821912765503,1.033430814743042,0.6785727739334106,0.5016043782234192
63,0.9973068237304688,0.9619554281234741,1.0337917804718018,0.6760253310203552,0.5017324686050415
64,0.9973351955413818,0.9638583660125732,1.032723069190979,0.6763647198677063,0.502498209476471
65,0.9974638819694519,0.9601557850837708,1.0360254049301147,0.675592303276062,0.5021257400512695
66,0.9999300837516785,0.9665997624397278,1.035001277923584,0.6778475642204285,0.5015827417373657
67,0.9989302754402161,0.9686406850814819,1.041815161705017,0.6777619123458862,0.5021540522575378
68,0.9997039437294006,0.9635148048400879,1.0426108837127686,0.679423987865448,0.5021799206733704
69,0.9978118538856506,0.9600017070770264,1.0415167808532715,0.6782898902893066,0.5027587413787842
70,0.997734785079956,0.9572160840034485,1.0372568368911743,0.6784774661064148,0.5028722882270813
71,0.9990504384040833,0.9696958065032959,1.036547064781189,0.6795508861541748,0.5036883354187012
72,1.0000088214874268,0.9693024158477783,1.0354828834533691,0.6808921098709106,0.5041413903236389
73,0.9999251365661621,0.9741674065589905,1.0306180715560913,0.6819309592247009,0.5047091245651245
74,0.9994717240333557,0.9757241010665894,1.0361400842666626,0.6818116903305054,0.5046104192733765
75,0.9982120990753174,0.965643048286438,1.03229820728302,0.6809119582176208,0.5050613284111023
76,0.9997653961181641,0.9703189730644226,1.0285195112228394,0.6824248433113098,0.5048686265945435
77,0.9997506737709045,0.9599581360816956,1.032022476196289,0.6809173226356506,0.5051148533821106
78,0.9994470477104187,0.9546205401420593,1.0306323766708374,0.68153315782547,0.5057042241096497
79,0.9992660880088806,0.9596198201179504,1.0341517925262451,0.6809190511703491,0.505761444568634
80,1.0010780096054077,0.9643835425376892,1.0335568189620972,0.6822591423988342,0.506287693977356
81,1.0005332231521606,0.9644728899002075,1.047074794769287,0.6812949180603027,0.5060337781906128
82,1.0012131929397583,0.9661651253700256,1.0414659976959229,0.6815943121910095,0.5072582960128784
83,1.0009257793426514,0.9606133699417114,1.042970895767212,0.681419312953949,0.5065190196037292
84,1.0007573366165161,0.9622369408607483,1.0387299060821533,0.6813451647758484,0.5075042843818665
85,1.001774549484253,0.9621213674545288,1.0555332899093628,0.6813952922821045,0.5073198676109314
86,1.0018075704574585,0.9618515968322754,1.052973985671997,0.6818209886550903,0.5076759457588196
87,1.0009543895721436,0.9589183926582336,1.059272050857544,0.6818334460258484,0.507210910320282
88,1.0024248361587524,0.9644775390625,1.0735214948654175,0.6841543912887573,0.5079075694084167
89,1.0025177001953125,0.9638521671295166,1.0795108079910278,0.6822803020477295,0.5077189803123474
90,1.0031739473342896,0.9656736850738525,1.0843414068222046,0.6824421286582947,0.5087475776672363
91,1.0028414726257324,0.9567744731903076,1.0758507251739502,0.6811814308166504,0.508514940738678
92,1.0049552917480469,0.9633909463882446,1.0743944644927979,0.6830356121063232,0.5079639554023743
93,1.0044617652893066,0.9644351601600647,1.0757107734680176,0.6813268661499023,0.5081973075866699
94,1.0069963932037354,0.970066487789154,1.0651193857192993,0.683768093585968,0.5086200833320618
95,1.0084006786346436,0.9625566005706787,1.0791171789169312,0.682527482509613,0.5089979767799377
96,1.0099331140518188,0.9661411643028259,1.0915840864181519,0.681795060634613,0.5096621513366699
97,1.0079258680343628,0.9669898152351379,1.0864399671554565,0.6805271506309509,0.51024329662323
98,1.0071731805801392,0.9605029821395874,1.0807278156280518,0.6815100312232971,0.5108423829078674
99,1.0072778463363647,0.9708198308944702,1.079859733581543,0.6808149814605713,0.5112918019294739
100,1.0058437585830688,0.963561475276947,1.0767319202423096,0.6803423166275024,0.5116555690765381
101,1.0045057535171509,0.968186616897583,1.071217656135559,0.6781582236289978,0.5127742886543274
102,1.0052034854888916,0.961536169052124,1.059943437576294,0.681030809879303,0.5135384202003479
103,1.0034443140029907,0.9679898619651794,1.064792275428772,0.6790446043014526,0.5131608247756958
104,1.0045018196105957,0.9661512970924377,1.0574649572372437,0.6796649098396301,0.5129583477973938
105,1.0040816068649292,0.9645862579345703,1.0574287176132202,0.6782732605934143,0.5136865973472595
106,1.0041040182113647,0.9674850702285767,1.0523728132247925,0.6789260506629944,0.5132013559341431
107,1.0030467510223389,0.967139720916748,1.0533678531646729,0.6761139035224915,0.5142910480499268
108,1.0031391382217407,0.968743085861206,1.0576328039169312,0.6768236756324768,0.5153253078460693
109,1.004373550415039,0.963266134262085,1.0812158584594727,0.6756477952003479,0.5143433213233948
110,1.003852128982544,0.9696246385574341,1.0798704624176025,0.6760788559913635,0.5152769088745117
111,1.004530906677246,0.965221107006073,1.083138346672058,0.675490140914917,0.5140865445137024
112,1.0055211782455444,0.9491966962814331,1.082650899887085,0.676918625831604,0.5140262246131897
113,1.0065221786499023,0.9568394422531128,1.0860018730163574,0.6739530563354492,0.5158969163894653
114,1.0051809549331665,0.9555954337120056,1.0743701457977295,0.6767274141311646,0.5169683694839478
115,1.0051435232162476,0.9559547901153564,1.085782766342163,0.6753250360488892,0.5157488584518433
116,1.0035736560821533,0.9627358913421631,1.0832494497299194,0.6753132939338684,0.5160480737686157
117,1.0043549537658691,0.9634194374084473,1.0898327827453613,0.6746203303337097,0.5167958736419678
118,1.0056427717208862,0.9564279317855835,1.0862892866134644,0.6767988801002502,0.5169873237609863
119,1.0054823160171509,0.9385335445404053,1.0873353481292725,0.673524022102356,0.517358660697937
120,1.006207823753357,0.9458204507827759,1.0904916524887085,0.6747822165489197,0.5177210569381714
121,1.0036933422088623,0.9459834098815918,1.08918035030365,0.6709666848182678,0.519220769405365
122,1.0057734251022339,0.9562405943870544,1.0922476053237915,0.672179102897644,0.5197047591209412
123,1.0045067071914673,0.960137665271759,1.089748740196228,0.6701248288154602,0.519324004650116
124,1.0074788331985474,0.9614065289497375,1.083794116973877,0.6727467775344849,0.51971834897995
125,1.0089411735534668,0.9572409391403198,1.1055724620819092,0.6705673336982727,0.5201680064201355
126,1.0082370042800903,0.9578892588615417,1.0859897136688232,0.6715875864028931,0.5216362476348877
127,1.0078200101852417,0.9593871831893921,1.0737360715866089,0.6696606278419495,0.5208362936973572
128,1.0068491697311401,0.9593731760978699,1.071781873703003,0.67137610912323,0.5229008197784424
129,1.0110437870025635,0.9614185094833374,1.1031856536865234,0.6693114042282104,0.5222625136375427
130,1.0141578912734985,0.9636728167533875,1.105123519897461,0.6701157689094543,0.5225815773010254
131,1.0131053924560547,0.9705585241317749,1.1384010314941406,0.6668450832366943,0.5228572487831116
132,1.0139747858047485,0.9568005800247192,1.1363952159881592,0.6670584082603455,0.5237844586372375
133,1.0151960849761963,0.9566832184791565,1.1329034566879272,0.6647226214408875,0.5246354937553406
134,1.0161209106445312,0.961527407169342,1.1209161281585693,0.665207028388977,0.5248862504959106
135,1.0180999040603638,0.9490700364112854,1.1690411567687988,0.6650331616401672,0.5246021151542664
136,1.019483208656311,0.9535345435142517,1.1653131246566772,0.6668468713760376,0.5252736806869507
137,1.017458438873291,0.931074321269989,1.4896352291107178,0.664048969745636,0.5244702696800232
138,1.0170215368270874,0.9461140632629395,1.463732361793518,0.663702130317688,0.5246337056159973
139,1.0163649320602417,0.9476681351661682,1.403030276298523,0.6626514792442322,0.5251668095588684
140,1.014966607093811,0.9391017556190491,1.361391305923462,0.6622454524040222,0.525436282157898
141,1.0091856718063354,0.9463550448417664,1.3402693271636963,0.6616696119308472,0.5257660150527954
142,1.0117557048797607,0.9442121982574463,1.3022328615188599,0.6628114581108093,0.5264225602149963
143,1.0127750635147095,0.9442857503890991,1.2788207530975342,0.6608101725578308,0.5271474719047546
144,1.0162317752838135,0.953474760055542,1.243102788925171,0.6638367772102356,0.5267937779426575
145,1.013295292854309,0.9504265785217285,1.2229549884796143,0.6619137525558472,0.5283647179603577
146,1.014495611190796,0.9576707482337952,1.2128208875656128,0.6644135117530823,0.5270596742630005
147,1.0140876770019531,0.9412062764167786,1.1910063028335571,0.6601284146308899,0.528385579586029
148,1.0140609741210938,0.956694483757019,1.1740416288375854,0.659987211227417,0.5295183062553406
149,1.0124726295471191,0.9601305723190308,1.1520872116088867,0.658300518989563,0.5301887392997742
150,1.0120196342468262,0.9628061056137085,1.1308132410049438,0.6581256985664368,0.5307526588439941
151,1.0117453336715698,0.9673553705215454,1.1229461431503296,0.6569280624389648,0.530405580997467
152,1.0129094123840332,0.9627475738525391,1.124964952468872,0.6585619449615479,0.5307217836380005
153,1.0050848722457886,0.9361666440963745,1.166213035583496,0.6552874445915222,0.5311503410339355
154,1.0137405395507812,0.942689836025238,1.1597836017608643,0.6576558947563171,0.5318994522094727
155,1.0151335000991821,0.9584274888038635,1.1740118265151978,0.6553199887275696,0.5322920680046082
156,1.0139318704605103,0.9554312825202942,1.1474685668945312,0.6576442718505859,0.5319699048995972
157,1.0253932476043701,0.9414902925491333,1.328713297843933,0.6555032730102539,0.5316447615623474
158,1.0234519243240356,0.9413059949874878,1.2956078052520752,0.6542988419532776,0.532151460647583
